data_as_of,death_year,death_month,jurisdiction_occurrence,drug_involved,month_ending_date,drug_overdose_deaths,states
1/5/2025,2019,1,Region 1,Fentanyl,1/31/2019,3420,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New York"
1/5/2025,2019,2,Region 1,Fentanyl,2/28/2019,3434,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New York"
1/5/2025,2019,3,Region 1,Fentanyl,3/31/2019,3443,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New York"
1/5/2025,2019,4,Region 1,Fentanyl,4/30/2019,3440,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New York"
1/5/2025,2019,5,Region 1,Fentanyl,5/31/2019,3439,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New York"
1/5/2025,2019,6,Region 1,Fentanyl,6/30/2019,3461,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New York"
1/5/2025,2019,7,Region 1,Fentanyl,7/31/2019,3464,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New York"
1/5/2025,2019,8,Region 1,Fentanyl,8/31/2019,3539,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New York"
1/5/2025,2019,9,Region 1,Fentanyl,9/30/2019,3553,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New York"
1/5/2025,2019,10,Region 1,Fentanyl,10/31/2019,3620,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New York"
1/5/2025,2019,11,Region 1,Fentanyl,11/30/2019,3653,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New York"
1/5/2025,2019,12,Region 1,Fentanyl,12/31/2019,3719,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New York"
1/5/2025,2020,1,Region 1,Fentanyl,1/31/2020,3763,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New York"
1/5/2025,2020,2,Region 1,Fentanyl,2/29/2020,3815,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New York"
1/5/2025,2020,3,Region 1,Fentanyl,3/31/2020,3833,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New York"
1/5/2025,2020,4,Region 1,Fentanyl,4/30/2020,3926,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New York"
1/5/2025,2020,5,Region 1,Fentanyl,5/31/2020,4030,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New York"
1/5/2025,2020,6,Region 1,Fentanyl,6/30/2020,4039,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New York"
1/5/2025,2020,7,Region 1,Fentanyl,7/31/2020,4112,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New York"
1/5/2025,2020,8,Region 1,Fentanyl,8/31/2020,4062,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New York"
1/5/2025,2020,9,Region 1,Fentanyl,9/30/2020,4105,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New York"
1/5/2025,2020,10,Region 1,Fentanyl,10/31/2020,4091,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New York"
1/5/2025,2020,11,Region 1,Fentanyl,11/30/2020,4093,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New York"
1/5/2025,2020,12,Region 1,Fentanyl,12/31/2020,4117,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New York"
1/5/2025,2021,1,Region 1,Fentanyl,1/31/2021,4194,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New York"
1/5/2025,2021,2,Region 1,Fentanyl,2/28/2021,4201,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New York"
1/5/2025,2021,3,Region 1,Fentanyl,3/31/2021,4283,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New York"
1/5/2025,2021,4,Region 1,Fentanyl,4/30/2021,4288,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New York"
1/5/2025,2021,5,Region 1,Fentanyl,5/31/2021,4278,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New York"
1/5/2025,2021,6,Region 1,Fentanyl,6/30/2021,4335,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New York"
1/5/2025,2021,7,Region 1,Fentanyl,7/31/2021,4342,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New York"
1/5/2025,2021,8,Region 1,Fentanyl,8/31/2021,4469,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New York"
1/5/2025,2021,9,Region 1,Fentanyl,9/30/2021,4570,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New York"
1/5/2025,2021,10,Region 1,Fentanyl,10/31/2021,4665,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New York"
1/5/2025,2021,11,Region 1,Fentanyl,11/30/2021,4738,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New York"
1/5/2025,2021,12,Region 1,Fentanyl,12/31/2021,4775,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New York"
1/5/2025,2022,1,Region 1,Fentanyl,1/31/2022,4766,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New York"
1/5/2025,2022,2,Region 1,Fentanyl,2/28/2022,4805,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New York"
1/5/2025,2022,3,Region 1,Fentanyl,3/31/2022,4819,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New York"
1/5/2025,2022,4,Region 1,Fentanyl,4/30/2022,4845,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New York"
1/5/2025,2022,5,Region 1,Fentanyl,5/31/2022,4840,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New York"
1/5/2025,2022,6,Region 1,Fentanyl,6/30/2022,4835,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New York"
1/5/2025,2022,7,Region 1,Fentanyl,7/31/2022,4842,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New York"
1/5/2025,2022,8,Region 1,Fentanyl,8/31/2022,4805,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New York"
1/5/2025,2022,9,Region 1,Fentanyl,9/30/2022,4781,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New York"
1/5/2025,2022,10,Region 1,Fentanyl,10/31/2022,4830,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New York"
1/5/2025,2022,11,Region 1,Fentanyl,11/30/2022,4857,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New York"
1/5/2025,2022,12,Region 1,Fentanyl,12/31/2022,4871,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New York"
1/5/2025,2023,1,Region 1,Fentanyl,1/31/2023,4898,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New York"
1/5/2025,2023,2,Region 1,Fentanyl,2/28/2023,4900,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New York"
1/5/2025,2023,3,Region 1,Fentanyl,3/31/2023,4847,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New York"
1/5/2025,2023,4,Region 1,Fentanyl,4/30/2023,4824,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New York"
1/5/2025,2023,5,Region 1,Fentanyl,5/31/2023,4848,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New York"
1/5/2025,2023,6,Region 1,Fentanyl,6/30/2023,4833,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New York"
1/5/2025,2023,7,Region 1,Fentanyl,7/31/2023,4800,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New York"
1/5/2025,2023,8,Region 1,Fentanyl,8/31/2023,4767,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New York"
1/5/2025,2023,9,Region 1,Fentanyl,9/30/2023,4739,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New York"
1/5/2025,2023,10,Region 1,Fentanyl,10/31/2023,4586,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New York"
1/5/2025,2023,11,Region 1,Fentanyl,11/30/2023,4498,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New York"
1/5/2025,2023,12,Region 1,Fentanyl,12/31/2023,4426,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New York"
1/5/2025,2024,1,Region 1,Fentanyl,1/31/2024,4339,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New York"
1/5/2025,2024,2,Region 1,Fentanyl,2/29/2024,4236,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New York"
1/5/2025,2024,3,Region 1,Fentanyl,3/31/2024,4181,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New York"
1/5/2025,2024,4,Region 1,Fentanyl,4/30/2024,4051,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New York"
1/5/2025,2024,5,Region 1,Fentanyl,5/31/2024,3883,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New York"
1/5/2025,2024,6,Region 1,Fentanyl,6/30/2024,3766,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New York"
1/5/2025,2019,1,Region 2,Fentanyl,1/31/2019,4328,"Delaware, District of Columbia, Maryland, Pennsylvania, Virginia, West Virginia, New Jersey"
1/5/2025,2019,2,Region 2,Fentanyl,2/28/2019,4389,"Delaware, District of Columbia, Maryland, Pennsylvania, Virginia, West Virginia, New Jersey"
1/5/2025,2019,3,Region 2,Fentanyl,3/31/2019,4381,"Delaware, District of Columbia, Maryland, Pennsylvania, Virginia, West Virginia, New Jersey"
1/5/2025,2019,4,Region 2,Fentanyl,4/30/2019,4331,"Delaware, District of Columbia, Maryland, Pennsylvania, Virginia, West Virginia, New Jersey"
1/5/2025,2019,5,Region 2,Fentanyl,5/31/2019,4277,"Delaware, District of Columbia, Maryland, Pennsylvania, Virginia, West Virginia, New Jersey"
1/5/2025,2019,6,Region 2,Fentanyl,6/30/2019,4252,"Delaware, District of Columbia, Maryland, Pennsylvania, Virginia, West Virginia, New Jersey"
1/5/2025,2019,7,Region 2,Fentanyl,7/31/2019,4296,"Delaware, District of Columbia, Maryland, Pennsylvania, Virginia, West Virginia, New Jersey"
1/5/2025,2019,8,Region 2,Fentanyl,8/31/2019,4311,"Delaware, District of Columbia, Maryland, Pennsylvania, Virginia, West Virginia, New Jersey"
1/5/2025,2019,9,Region 2,Fentanyl,9/30/2019,4333,"Delaware, District of Columbia, Maryland, Pennsylvania, Virginia, West Virginia, New Jersey"
1/5/2025,2019,10,Region 2,Fentanyl,10/31/2019,4347,"Delaware, District of Columbia, Maryland, Pennsylvania, Virginia, West Virginia, New Jersey"
1/5/2025,2019,11,Region 2,Fentanyl,11/30/2019,4411,"Delaware, District of Columbia, Maryland, Pennsylvania, Virginia, West Virginia, New Jersey"
1/5/2025,2019,12,Region 2,Fentanyl,12/31/2019,4512,"Delaware, District of Columbia, Maryland, Pennsylvania, Virginia, West Virginia, New Jersey"
1/5/2025,2020,1,Region 2,Fentanyl,1/31/2020,4656,"Delaware, District of Columbia, Maryland, Pennsylvania, Virginia, West Virginia, New Jersey"
1/5/2025,2020,2,Region 2,Fentanyl,2/29/2020,4744,"Delaware, District of Columbia, Maryland, Pennsylvania, Virginia, West Virginia, New Jersey"
1/5/2025,2020,3,Region 2,Fentanyl,3/31/2020,4879,"Delaware, District of Columbia, Maryland, Pennsylvania, Virginia, West Virginia, New Jersey"
1/5/2025,2020,4,Region 2,Fentanyl,4/30/2020,5076,"Delaware, District of Columbia, Maryland, Pennsylvania, Virginia, West Virginia, New Jersey"
1/5/2025,2020,5,Region 2,Fentanyl,5/31/2020,5362,"Delaware, District of Columbia, Maryland, Pennsylvania, Virginia, West Virginia, New Jersey"
1/5/2025,2020,6,Region 2,Fentanyl,6/30/2020,5512,"Delaware, District of Columbia, Maryland, Pennsylvania, Virginia, West Virginia, New Jersey"
1/5/2025,2020,7,Region 2,Fentanyl,7/31/2020,5615,"Delaware, District of Columbia, Maryland, Pennsylvania, Virginia, West Virginia, New Jersey"
1/5/2025,2020,8,Region 2,Fentanyl,8/31/2020,5737,"Delaware, District of Columbia, Maryland, Pennsylvania, Virginia, West Virginia, New Jersey"
1/5/2025,2020,9,Region 2,Fentanyl,9/30/2020,5824,"Delaware, District of Columbia, Maryland, Pennsylvania, Virginia, West Virginia, New Jersey"
1/5/2025,2020,10,Region 2,Fentanyl,10/31/2020,5895,"Delaware, District of Columbia, Maryland, Pennsylvania, Virginia, West Virginia, New Jersey"
1/5/2025,2020,11,Region 2,Fentanyl,11/30/2020,5986,"Delaware, District of Columbia, Maryland, Pennsylvania, Virginia, West Virginia, New Jersey"
1/5/2025,2020,12,Region 2,Fentanyl,12/31/2020,6013,"Delaware, District of Columbia, Maryland, Pennsylvania, Virginia, West Virginia, New Jersey"
1/5/2025,2021,1,Region 2,Fentanyl,1/31/2021,6205,"Delaware, District of Columbia, Maryland, Pennsylvania, Virginia, West Virginia, New Jersey"
1/5/2025,2021,2,Region 2,Fentanyl,2/28/2021,6258,"Delaware, District of Columbia, Maryland, Pennsylvania, Virginia, West Virginia, New Jersey"
1/5/2025,2021,3,Region 2,Fentanyl,3/31/2021,6415,"Delaware, District of Columbia, Maryland, Pennsylvania, Virginia, West Virginia, New Jersey"
1/5/2025,2021,4,Region 2,Fentanyl,4/30/2021,6455,"Delaware, District of Columbia, Maryland, Pennsylvania, Virginia, West Virginia, New Jersey"
1/5/2025,2021,5,Region 2,Fentanyl,5/31/2021,6375,"Delaware, District of Columbia, Maryland, Pennsylvania, Virginia, West Virginia, New Jersey"
1/5/2025,2021,6,Region 2,Fentanyl,6/30/2021,6471,"Delaware, District of Columbia, Maryland, Pennsylvania, Virginia, West Virginia, New Jersey"
1/5/2025,2021,7,Region 2,Fentanyl,7/31/2021,6569,"Delaware, District of Columbia, Maryland, Pennsylvania, Virginia, West Virginia, New Jersey"
1/5/2025,2021,8,Region 2,Fentanyl,8/31/2021,6677,"Delaware, District of Columbia, Maryland, Pennsylvania, Virginia, West Virginia, New Jersey"
1/5/2025,2021,9,Region 2,Fentanyl,9/30/2021,6833,"Delaware, District of Columbia, Maryland, Pennsylvania, Virginia, West Virginia, New Jersey"
1/5/2025,2021,10,Region 2,Fentanyl,10/31/2021,6979,"Delaware, District of Columbia, Maryland, Pennsylvania, Virginia, West Virginia, New Jersey"
1/5/2025,2021,11,Region 2,Fentanyl,11/30/2021,7037,"Delaware, District of Columbia, Maryland, Pennsylvania, Virginia, West Virginia, New Jersey"
1/5/2025,2021,12,Region 2,Fentanyl,12/31/2021,7148,"Delaware, District of Columbia, Maryland, Pennsylvania, Virginia, West Virginia, New Jersey"
1/5/2025,2022,1,Region 2,Fentanyl,1/31/2022,7155,"Delaware, District of Columbia, Maryland, Pennsylvania, Virginia, West Virginia, New Jersey"
1/5/2025,2022,2,Region 2,Fentanyl,2/28/2022,7214,"Delaware, District of Columbia, Maryland, Pennsylvania, Virginia, West Virginia, New Jersey"
1/5/2025,2022,3,Region 2,Fentanyl,3/31/2022,7170,"Delaware, District of Columbia, Maryland, Pennsylvania, Virginia, West Virginia, New Jersey"
1/5/2025,2022,4,Region 2,Fentanyl,4/30/2022,7194,"Delaware, District of Columbia, Maryland, Pennsylvania, Virginia, West Virginia, New Jersey"
1/5/2025,2022,5,Region 2,Fentanyl,5/31/2022,7238,"Delaware, District of Columbia, Maryland, Pennsylvania, Virginia, West Virginia, New Jersey"
1/5/2025,2022,6,Region 2,Fentanyl,6/30/2022,7210,"Delaware, District of Columbia, Maryland, Pennsylvania, Virginia, West Virginia, New Jersey"
1/5/2025,2022,7,Region 2,Fentanyl,7/31/2022,7243,"Delaware, District of Columbia, Maryland, Pennsylvania, Virginia, West Virginia, New Jersey"
1/5/2025,2022,8,Region 2,Fentanyl,8/31/2022,7236,"Delaware, District of Columbia, Maryland, Pennsylvania, Virginia, West Virginia, New Jersey"
1/5/2025,2022,9,Region 2,Fentanyl,9/30/2022,7247,"Delaware, District of Columbia, Maryland, Pennsylvania, Virginia, West Virginia, New Jersey"
1/5/2025,2022,10,Region 2,Fentanyl,10/31/2022,7255,"Delaware, District of Columbia, Maryland, Pennsylvania, Virginia, West Virginia, New Jersey"
1/5/2025,2022,11,Region 2,Fentanyl,11/30/2022,7345,"Delaware, District of Columbia, Maryland, Pennsylvania, Virginia, West Virginia, New Jersey"
1/5/2025,2022,12,Region 2,Fentanyl,12/31/2022,7398,"Delaware, District of Columbia, Maryland, Pennsylvania, Virginia, West Virginia, New Jersey"
1/5/2025,2023,1,Region 2,Fentanyl,1/31/2023,7407,"Delaware, District of Columbia, Maryland, Pennsylvania, Virginia, West Virginia, New Jersey"
1/5/2025,2023,2,Region 2,Fentanyl,2/28/2023,7417,"Delaware, District of Columbia, Maryland, Pennsylvania, Virginia, West Virginia, New Jersey"
1/5/2025,2023,3,Region 2,Fentanyl,3/31/2023,7427,"Delaware, District of Columbia, Maryland, Pennsylvania, Virginia, West Virginia, New Jersey"
1/5/2025,2023,4,Region 2,Fentanyl,4/30/2023,7536,"Delaware, District of Columbia, Maryland, Pennsylvania, Virginia, West Virginia, New Jersey"
1/5/2025,2023,5,Region 2,Fentanyl,5/31/2023,7574,"Delaware, District of Columbia, Maryland, Pennsylvania, Virginia, West Virginia, New Jersey"
1/5/2025,2023,6,Region 2,Fentanyl,6/30/2023,7634,"Delaware, District of Columbia, Maryland, Pennsylvania, Virginia, West Virginia, New Jersey"
1/5/2025,2023,7,Region 2,Fentanyl,7/31/2023,7588,"Delaware, District of Columbia, Maryland, Pennsylvania, Virginia, West Virginia, New Jersey"
1/5/2025,2023,8,Region 2,Fentanyl,8/31/2023,7600,"Delaware, District of Columbia, Maryland, Pennsylvania, Virginia, West Virginia, New Jersey"
1/5/2025,2023,9,Region 2,Fentanyl,9/30/2023,7496,"Delaware, District of Columbia, Maryland, Pennsylvania, Virginia, West Virginia, New Jersey"
1/5/2025,2023,10,Region 2,Fentanyl,10/31/2023,7433,"Delaware, District of Columbia, Maryland, Pennsylvania, Virginia, West Virginia, New Jersey"
1/5/2025,2023,11,Region 2,Fentanyl,11/30/2023,7289,"Delaware, District of Columbia, Maryland, Pennsylvania, Virginia, West Virginia, New Jersey"
1/5/2025,2023,12,Region 2,Fentanyl,12/31/2023,7192,"Delaware, District of Columbia, Maryland, Pennsylvania, Virginia, West Virginia, New Jersey"
1/5/2025,2024,1,Region 2,Fentanyl,1/31/2024,7042,"Delaware, District of Columbia, Maryland, Pennsylvania, Virginia, West Virginia, New Jersey"
1/5/2025,2024,2,Region 2,Fentanyl,2/29/2024,6930,"Delaware, District of Columbia, Maryland, Pennsylvania, Virginia, West Virginia, New Jersey"
1/5/2025,2024,3,Region 2,Fentanyl,3/31/2024,6752,"Delaware, District of Columbia, Maryland, Pennsylvania, Virginia, West Virginia, New Jersey"
1/5/2025,2024,4,Region 2,Fentanyl,4/30/2024,6516,"Delaware, District of Columbia, Maryland, Pennsylvania, Virginia, West Virginia, New Jersey"
1/5/2025,2024,5,Region 2,Fentanyl,5/31/2024,6251,"Delaware, District of Columbia, Maryland, Pennsylvania, Virginia, West Virginia, New Jersey"
1/5/2025,2024,6,Region 2,Fentanyl,6/30/2024,5928,"Delaware, District of Columbia, Maryland, Pennsylvania, Virginia, West Virginia, New Jersey"
1/5/2025,2019,1,Region 3,Fentanyl,1/31/2019,6069,"North Carolina, South Carolina, Georgia, Florida"
1/5/2025,2019,2,Region 3,Fentanyl,2/28/2019,6079,"North Carolina, South Carolina, Georgia, Florida"
1/5/2025,2019,3,Region 3,Fentanyl,3/31/2019,6072,"North Carolina, South Carolina, Georgia, Florida"
1/5/2025,2019,4,Region 3,Fentanyl,4/30/2019,6081,"North Carolina, South Carolina, Georgia, Florida"
1/5/2025,2019,5,Region 3,Fentanyl,5/31/2019,6037,"North Carolina, South Carolina, Georgia, Florida"
1/5/2025,2019,6,Region 3,Fentanyl,6/30/2019,6037,"North Carolina, South Carolina, Georgia, Florida"
1/5/2025,2019,7,Region 3,Fentanyl,7/31/2019,6071,"North Carolina, South Carolina, Georgia, Florida"
1/5/2025,2019,8,Region 3,Fentanyl,8/31/2019,6148,"North Carolina, South Carolina, Georgia, Florida"
1/5/2025,2019,9,Region 3,Fentanyl,9/30/2019,6188,"North Carolina, South Carolina, Georgia, Florida"
1/5/2025,2019,10,Region 3,Fentanyl,10/31/2019,6262,"North Carolina, South Carolina, Georgia, Florida"
1/5/2025,2019,11,Region 3,Fentanyl,11/30/2019,6420,"North Carolina, South Carolina, Georgia, Florida"
